tag,type,proportion,variance
practices_students_leaders,charter,0.396551724137931,0.250846036799202
practices_multi_age,charter,0.517241379310345,0.205754115027449
practices_adaptive_content,charter,0.5,0.203676802890483
practices_mtss_academics,charter,0.655172413793103,0.197189010185646
practices_hiring_equity,charter,0.810344827586207,0.192459889087999
practices_assessments_career,charter,0.431034482758621,0.17734038689633
practices_learner_profiles,charter,0.517241379310345,0.171559374572103
practices_makerspace,charter,0.275862068965517,0.169777494643435
practices_expanded_success,charter,0.724137931034483,0.162239297687711
practices_industry_credentials,charter,0.310344827586207,0.157426612206854
practices_students_leaders,district,0.428571428571429,0.250846036799202
practices_multi_age,district,0.467532467532468,0.205754115027449
practices_adaptive_content,district,0.324675324675325,0.203676802890483
practices_mtss_academics,district,0.532467532467532,0.197189010185646
practices_hiring_equity,district,0.428571428571429,0.192459889087999
practices_assessments_career,district,0.584415584415584,0.17734038689633
practices_learner_profiles,district,0.441558441558442,0.171559374572103
practices_makerspace,district,0.441558441558442,0.169777494643435
practices_expanded_success,district,0.428571428571429,0.162239297687711
practices_industry_credentials,district,0.376623376623377,0.157426612206854
practices_students_leaders,independent,0.846153846153846,0.250846036799202
practices_multi_age,independent,0.846153846153846,0.205754115027449
practices_adaptive_content,independent,0.730769230769231,0.203676802890483
practices_mtss_academics,independent,0.269230769230769,0.197189010185646
practices_hiring_equity,independent,0.576923076923077,0.192459889087999
practices_assessments_career,independent,0.230769230769231,0.17734038689633
practices_learner_profiles,independent,0.769230769230769,0.171559374572103
practices_makerspace,independent,0.615384615384615,0.169777494643435
practices_expanded_success,independent,0.692307692307692,0.162239297687711
practices_industry_credentials,independent,0.0769230769230769,0.157426612206854
