tag,locale,proportion,variance
practices_dual_credit,rural,0.517241379310345,0.0113737008882031
practices_opportunities_mastery,rural,0.827586206896552,0.0140239072683867
practices_multi_age,rural,0.551724137931035,0.0146715621014225
practices_design_thinking,rural,0.517241379310345,0.0166699692856759
practices_portfolios_exhibitions,rural,0.689655172413793,0.0194332084511961
practices_enriched_virtual,rural,0.206896551724138,0.020606417612597
practices_student_conferences,rural,0.551724137931035,0.0232658816683516
practices_families_leaders,rural,0.310344827586207,0.0236628862733044
practices_students_leaders,rural,0.448275862068966,0.0286084906175452
practices_peer_to_peer,rural,0.517241379310345,0.0289829922160887
practices_dual_credit,suburban,0.533333333333333,0.0113737008882031
practices_opportunities_mastery,suburban,0.8,0.0140239072683867
practices_multi_age,suburban,0.533333333333333,0.0146715621014225
practices_design_thinking,suburban,0.533333333333333,0.0166699692856759
practices_portfolios_exhibitions,suburban,0.7,0.0194332084511961
practices_enriched_virtual,suburban,0.2,0.020606417612597
practices_student_conferences,suburban,0.533333333333333,0.0232658816683516
practices_families_leaders,suburban,0.266666666666667,0.0236628862733044
practices_students_leaders,suburban,0.433333333333333,0.0286084906175452
practices_peer_to_peer,suburban,0.566666666666667,0.0289829922160887
practices_dual_credit,urban,0.511363636363636,0.0113737008882031
practices_opportunities_mastery,urban,0.818181818181818,0.0140239072683867
practices_multi_age,urban,0.522727272727273,0.0146715621014225
practices_design_thinking,urban,0.5,0.0166699692856759
practices_portfolios_exhibitions,urban,0.727272727272727,0.0194332084511961
practices_enriched_virtual,urban,0.238636363636364,0.020606417612597
practices_student_conferences,urban,0.579545454545455,0.0232658816683516
practices_families_leaders,urban,0.272727272727273,0.0236628862733044
practices_students_leaders,urban,0.488636363636364,0.0286084906175452
practices_peer_to_peer,urban,0.568181818181818,0.0289829922160887
