Variable name,Original field name from Youssef/Transcend
survey_recorded_date,Recorded Date
survey_response_id,Response ID
nominator,Nominators
school_id,CanopyID
school_name,This is the information we have on record about your school or learning environment. Please edit these fields if they are inaccurate. - School name:
school_city,This is the information we have on record about your school or learning environment. Please edit these fields if they are inaccurate. - School city:
school_address,This is the information we have on record about your school or learning environment. Please edit these fields if they are inaccurate. - School address:
school_state,This is the information we have on record about your school or learning environment. Please edit these fields if they are inaccurate. - School state:
school_district,This is the information we have on record about your school or learning environment. Please edit these fields if they are inaccurate. - School district:
website,This is the information we have on record about your school or learning environment. Please edit these fields if they are inaccurate. - School website:
learning_model,"Your Learning Model The next questions ask about your learning model, or the coherent body of innovative approaches and practices that determine how students experience the learning environment.  How would you describe this learning environment in a 20-second elevator ride?This text will be displayed in a central place in your Canopy profile. What’s the headline you want people to know?"
suggested_tags_s,Would you like to suggest any other keywords to describe the learning environment’s current design?
policy_factors,"Optional: If you could wave a magic wand, what specific policy or regulatory factor(s) would you create or change to support your innovation efforts?"
school_descriptor_district,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Public district school
school_descriptor_charter,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Public charter school
school_descriptor_independent,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Independent (private) school
school_descriptor_sws,"How do you describe your school or learning environment? Select all that apply. - Selected Choice - School-within-school (a smaller, largely autonomous school inside of a public district school)"
school_descriptor_virtual,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Virtual school
school_descriptor_microschool,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Microschool
school_descriptor_homeschool,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Homeschooling cooperative
school_descriptor_hub,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Learning hub providing core educational programming
school_descriptor_other,How do you describe your school or learning environment? Select all that apply. - Selected Choice - Other:
school_descriptor_other_text,How do you describe your school or learning environment? Select all that apply. - Other: - Text
leader_tenure,How long has the current school leader been in their position at the school or learning environment?
confidential_leader_gender,What is the leader’s gender identity?We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice
confidential_leader_gender_self_describe,What is the leader’s gender identity?We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Prefer to self-identify: - Text
confidential_leader_race_aian,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - American Indian or Alaska Native
confidential_leader_race_asian,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - Asian
confidential_leader_race_black,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - Black or African American
confidential_leader_race_hispanic,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - Hispanic or Latinx
confidential_leader_race_nhpi,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - Native Hawaiian or Pacific Islander
confidential_leader_race_white,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - White
confidential_leader_race_self_describe,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - Prefer to self-identify:
confidential_leader_race_self_describe_text,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Prefer to self-identify: - Text
confidential_leader_race_no_response,What is the leader’s racial/ethnic identity? We request this information to better understand who participates in Canopy. Results will only be reported in aggregate (not personally identifiable). - Selected Choice - Prefer not to say
