short name,Name,Description,Variable name,2020-21 equivalent,Years used,2021-22 Cluster,2018-19 equivalent
à la carte model,à la carte model,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,practices_a_la_carte,a_la_carte,"2018-19,2020-21,2021-22",Set 4,a_la_carte
accommodations for all students,accommodations provided to all students,"Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",practices_accommodations,accommodations,"2018-19,2020-21,2021-22",Set 5,accommodations
adaptive content,adaptive content,Content is adapted to individual learners (may be accomplished using adaptive learning software).,practices_adaptive_content,adaptive_content,"2018-19,2020-21,2021-22",Set 4,adaptive_content
advancement on mastery,advancement on mastery,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",practices_advancement_mastery,advancement_mastery,"2018-19,2020-21,2021-22",Set 5,advancement_mastery
student advisories,student advisories,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",practices_advisories,advisories,"2018-19,2020-21,2021-22",Set 6,advisories
anti-racist practices,anti-racist practices,The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,practices_anti_racist,anti_racist_action,"2020-21,2021-22",Set 1,
career readiness assessments,assessments for career readiness,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,practices_assessments_career,assessments_career,"2018-19,2020-21,2021-22",Set 6,measures_career
deeper learning assessments,assessments for deeper learning,"The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",practices_assessments_deeper,assessments_deeper,"2018-19,2020-21,2021-22",Set 3,measures_deeper
social-emotional skills assessments,assessments for social-emotional skills,"The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",practices_assessments_sel,assessments_sel,"2018-19,2020-21,2021-22",Set 2,measures_sel
blended learning,blended learning,"Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning. ",practices_blended_learning,blended_learning,"2018-19,2020-21,2021-22",Set 4,blended_learning
career prep & work-based learning,career prep and work-based learning,"The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.",practices_career_prep,career_prep,"2018-19,2020-21,2021-22",Set 6,career_prep
community & business partnerships,community and business partnerships,"Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.",practices_community_partnerships,community_partnerships,"2018-19,2020-21,2021-22",Set 6,community_partnerships
family & community support services,family and community support services,"The learning environment offers (or partners to offer) social and wraparound support services to families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",practices_community_supports,community_supports,"2018-19,2020-21,2021-22",Set 2,community_support
competency-based education,competency/mastery-based education,"The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",practices_competency_education,competency_education,"2018-19,2020-21,2021-22",Set 5,competency_education
competency framework,competency framework,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,practices_competency_framework,competency_framework,"2018-19,2020-21,2021-22",Set 5,competency_framework
culturally responsive practices,culturally responsive practices,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,practices_culturally_responsive,culturally_relevant,"2018-19,2020-21,2021-22",Set 1,culturally_relevant
design to meet needs of students who have been marginalized,design to meet needs of students who have been marginalized,"The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)",practices_design_marginalized,design_equity,"2018-19,2020-21,2021-22",Set 1,equity
design thinking process,design thinking process,"Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",practices_design_thinking,design_thinking,"2018-19,2020-21,2021-22",Set 3,design_thinking
dual credit,dual credit,"Students can take college credit-bearing courses before entering college.
",practices_dual_credit,dual_credit,"2020-21,2021-22",Set 6,
dual language programming,dual language programming,A form of bilingual education in which students are taught literacy and content in two languages.,practices_dual_language,dual_language,"2020-21,2021-22",Set 1,
early college high school,early college high school,"A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.",practices_early_college,early_college,"2020-21,2021-22",Set 6,
elimination of tracked classes,elimination of tracked classes,"Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",practices_elimination_tracking,elimination_tracking,"2018-19,2020-21,2021-22",Set 6,elimination_tracking
enriched virtual model,enriched virtual model,"A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.",practices_enriched_virtual,enriched_virtual,"2018-19,2020-21,2021-22",Set 4,enriched_virtual
expanded measures of success,expanded measures of success,"The learning environment defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)",practices_expanded_success,expanded_success,"2018-19,2020-21,2021-22",Set 5,redefining_success
extended learning opportunities,extended learning opportunities,"Students can access credit-bearing learning experiences outside of school (e.g. internship, service learning, training, etc).",practices_extended_learning,extended_learning,"2018-19,2020-21,2021-22",Set 6,outside_credit
families as co-leaders,families as co-leaders,"The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",practices_families_leaders,families_leaders,"2020-21,2021-22",Set 2,
flex model,flex model,"A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.",practices_flex,flex,"2018-19,2020-21,2021-22",Set 4,flex
flexible facilities & classroom design,flexible facilities & classroom design,"Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",practices_flexible_facilities,flexible_facilities,"2018-19,2020-21,2021-22",Set 3,flexible_facilities
flexible staffing & alternative teaching roles,flexible staffing & alternative teaching roles,"The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",practices_flexible_staffing,flexible_staffing,"2018-19,2020-21,2021-22",Set 3,flexible_staffing
flipped classroom,flipped classroom,"A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",practices_flipped_classroom,flipped_classroom,"2018-19,2020-21,2021-22",Set 4,flipped_classroom
grading policies focus on mastery,grading policies focus on mastery,"Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",practices_grading_mastery,grading_mastery,"2018-19,2020-21,2021-22",Set 5,grading_mastery
hiring for equity and inclusion values,hiring for equity and inclusion values,"Hiring practices are designed to result in new hires with equity- and inclusion-focused values. The learning environment may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",practices_hiring_equity,hiring_equity,"2020-21,2021-22",Set 1,
hybrid,hybrid,Some students learn partially at home and partially at a school building (core instruction occurs in both settings).,practices_hybrid,hybrid,"2020-21,2021-22",Set 4,
individual rotation,individual rotation,A blended learning model in which students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,practices_individual_rotation,individual_rotation,"2018-19,2020-21,2021-22",Set 4,individual_rotation
industry credentials,students earn industry credentials,"Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",practices_industry_credentials,industry_credentials,"2020-21,2021-22",Set 6,
interdisciplinary,interdisciplinary,"Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",practices_interdisciplinary,interdisciplinary,"2018-19,2020-21,2021-22",Set 3,interdisciplinary
interoperability,interoperable data from multiple technologies,"Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",practices_interoperability,interoperability,"2018-19,2020-21,2021-22",Set 4,integrated_data
individual learner profiles,individual learner profiles,"Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn. ",practices_learner_profiles,learner_profiles,"2018-19,2020-21,2021-22",Set 5,learner_profiles
individual learning paths,individual learning paths,Students identify and follow unique learning pathways that are relevant to their interests and passions.,practices_learning_paths,learning_paths,"2018-19,2020-21,2021-22",Set 5,learning_paths
makerspace,makerspace,Students can access a space and/or set of tools for use in building and designing creations.,practices_makerspace,makerspace,"2018-19,2020-21,2021-22",Set 3,makerspace
mental health services,mental health services,The learning environment offers (or partners to offer) comprehensive counseling and mental health services for students.,practices_mental_health,mental_health,"2018-19,2020-21,2021-22",Set 2,mental_health
1:1 mentoring,1:1 mentoring,Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,practices_mentoring,mentoring,"2018-19,2020-21,2021-22",Set 6,mentoring
multi-age classrooms,multi-age classrooms,"Classrooms include students of many ages, rather than grouping them by age or grade band.",practices_multi_age,multi_age,"2018-19,2020-21,2021-22",Set 6,multi_age
