school_id,school_name,school_grade_type,grades_pre_k,grades_kindergarten,grades_1st,grades_2nd,grades_3rd,grades_4th,grades_5th,grades_6th,grades_7th,grades_8th,grades_9th,grades_10th,grades_11th,grades_12th,grades_past_12th,grades_other,n_grade_codes,match
483,Detroit Prep,elementary,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,no
586,Foundation School Of Autism - San Antonio,prek,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,no
458,The Albuquerque Sign Language Academy,elementary,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,no
144,Northside Elementary School,prek,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,no
120,Magnolia Montessori For All,prek,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8,no
140,Noble High School,middle,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,5,no
559,Holladay Intermediate Magnet School,prek,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,no
505,Brooklyn Free School,prek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,14,no
445,Lewisburg Elementary,prek,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,10,no
477,Paramount Brookside,elementary,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,no
527,Springs Studio For Academic Excellence,elementary,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,no
296,Kennedy Elementary School,prek,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,no
292,Intrinsic Charter School,middle,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,6,no
275,Glenwood Elementary,prek,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,10,no
94,Highline Big Picture,middle,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,7,no
47,Concourse Village Elementary School,prek,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,no
