school_id,dem,value,labels
7,aian_percent,0.0025,"American and
Alaska Native students"
7,asian_percent,0.0196,Asian students
7,black_percent,0.0049,Black students
7,hispanic_percent,0.152,Hispanic or Latina/o/x students
7,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
7,multiple_percent,0.0466,Multiracial students
7,white_percent,0.7745,White students
7,ell_percent,0,English language learners
7,frpl_percent,0.2411,"Students eligible for
free/reduced-price lunch"
7,swd_percent,0.1534,Students with Disabilities
8,aian_percent,0,"American and
Alaska Native students"
8,asian_percent,0.1207,Asian students
8,black_percent,0.0172,Black students
8,hispanic_percent,0.0345,Hispanic or Latina/o/x students
8,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
8,multiple_percent,0,Multiracial students
8,white_percent,0.8276,White students
8,ell_percent,0.09,English language learners
8,frpl_percent,0.1,"Students eligible for
free/reduced-price lunch"
8,swd_percent,0.1,Students with Disabilities
11,aian_percent,NA,"American and
Alaska Native students"
11,asian_percent,NA,Asian students
11,black_percent,NA,Black students
11,hispanic_percent,NA,Hispanic or Latina/o/x students
11,nhpi_percent,NA,"Native Hawaiian and
Pacific Islander students"
11,multiple_percent,NA,Multiracial students
11,white_percent,NA,White students
11,ell_percent,0,English language learners
11,frpl_percent,0,"Students eligible for
free/reduced-price lunch"
11,swd_percent,0.15,Students with Disabilities
16,aian_percent,0,"American and
Alaska Native students"
16,asian_percent,0.029,Asian students
16,black_percent,0.029,Black students
16,hispanic_percent,0.087,Hispanic or Latina/o/x students
16,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
16,multiple_percent,0.0725,Multiracial students
16,white_percent,0.7826,White students
16,ell_percent,0,English language learners
16,frpl_percent,0.3061,"Students eligible for
free/reduced-price lunch"
16,swd_percent,0.1088,Students with Disabilities
21,aian_percent,0,"American and
Alaska Native students"
21,asian_percent,0,Asian students
21,black_percent,0.0129,Black students
21,hispanic_percent,0.0452,Hispanic or Latina/o/x students
21,nhpi_percent,0.0065,"Native Hawaiian and
Pacific Islander students"
21,multiple_percent,0.1226,Multiracial students
21,white_percent,0.8129,White students
21,ell_percent,0,English language learners
21,frpl_percent,0.3793,"Students eligible for
free/reduced-price lunch"
21,swd_percent,0,Students with Disabilities
24,aian_percent,0.0099,"American and
Alaska Native students"
24,asian_percent,0.0099,Asian students
24,black_percent,0.4926,Black students
24,hispanic_percent,0.4381,Hispanic or Latina/o/x students
24,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
24,multiple_percent,0.0149,Multiracial students
24,white_percent,0.0347,White students
24,ell_percent,0.15,English language learners
24,frpl_percent,0.71,"Students eligible for
free/reduced-price lunch"
24,swd_percent,0.36,Students with Disabilities
26,aian_percent,0.0073,"American and
Alaska Native students"
26,asian_percent,0.0115,Asian students
26,black_percent,0.0052,Black students
26,hispanic_percent,0.1698,Hispanic or Latina/o/x students
26,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
26,multiple_percent,0.0273,Multiracial students
26,white_percent,0.7788,White students
26,ell_percent,0.013,English language learners
26,frpl_percent,0.4903,"Students eligible for
free/reduced-price lunch"
26,swd_percent,0.0871,Students with Disabilities
27,aian_percent,0,"American and
Alaska Native students"
27,asian_percent,0.0585,Asian students
27,black_percent,0.25,Black students
27,hispanic_percent,0.0612,Hispanic or Latina/o/x students
27,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
27,multiple_percent,0.0372,Multiracial students
27,white_percent,0.5931,White students
27,ell_percent,0.1318,English language learners
27,frpl_percent,0.4513,"Students eligible for
free/reduced-price lunch"
27,swd_percent,0.2119,Students with Disabilities
41,aian_percent,NA,"American and
Alaska Native students"
41,asian_percent,NA,Asian students
41,black_percent,NA,Black students
41,hispanic_percent,NA,Hispanic or Latina/o/x students
41,nhpi_percent,NA,"Native Hawaiian and
Pacific Islander students"
41,multiple_percent,NA,Multiracial students
41,white_percent,NA,White students
41,ell_percent,0,English language learners
41,frpl_percent,0.4,"Students eligible for
free/reduced-price lunch"
41,swd_percent,0.1099,Students with Disabilities
42,aian_percent,0,"American and
Alaska Native students"
42,asian_percent,0.0101,Asian students
42,black_percent,0.3268,Black students
42,hispanic_percent,0.6375,Hispanic or Latina/o/x students
42,nhpi_percent,0.0013,"Native Hawaiian and
Pacific Islander students"
42,multiple_percent,0.0128,Multiracial students
42,white_percent,0.0115,White students
42,ell_percent,0.3935,English language learners
42,frpl_percent,0.4841,"Students eligible for
free/reduced-price lunch"
42,swd_percent,0.1,Students with Disabilities
44,aian_percent,0,"American and
Alaska Native students"
44,asian_percent,0,Asian students
44,black_percent,0.3621,Black students
44,hispanic_percent,0.3836,Hispanic or Latina/o/x students
44,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
