tag,data,term,estimate,std.error,statistic,p.value,rank
practices_trauma_informed,,sy_i,0.21556372549019612,NA,NA,NA,1
practices_hiring_equity,,sy_i,0.1738970588235293,NA,NA,NA,2
practices_peer_to_peer,,sy_i,0.1272058823529413,NA,NA,NA,3
practices_culturally_responsive,,sy_i,0.11458333333333333,0.010030906125036753,11.4230291765305,0.05558953900951093,4
practices_tutoring,,sy_i,0.10465686274509815,NA,NA,NA,5
practices_assessments_career,,sy_i,0.09722222222222225,0.03044467999353258,3.193405949508267,0.19319667727743164,6
practices_community_supports,,sy_i,0.09722222222222214,0.024461332480352777,3.974526829244096,0.1569179369823867,7
practices_sel_curriculum,,sy_i,0.09375000000000001,0.034844200223811864,2.6905481944720617,0.22654071155815986,8
practices_student_projects,,sy_i,0.09027777777777782,0.03354194223564918,2.6914892746380215,0.2264680179579625,9
practices_physical_well_being,,sy_i,0.09027777777777778,0.0036252046697501216,24.90280853135954,0.025550448106086338,10
practices_teachers_leaders,,sy_i,0.08848039215686278,NA,NA,NA,11
practices_blended_learning,,sy_i,0.08680555555555562,0.03692077377250375,2.3511304527480648,0.25601527435218463,12
practices_udl,,sy_i,0.0868055555555556,0.010101298448721279,8.593504686176686,0.07374981132931853,13
practices_hybrid,,sy_i,-0.0855392156862745,NA,NA,NA,14
practices_sel_integrated,,sy_i,0.08333333333333337,0.019005927394806502,4.384597057658168,0.1427528530898047,15
practices_assessments_deeper,,sy_i,0.0729166666666667,0.022912701359294498,3.1823688321712527,0.19382614063098175,16
practices_mental_health,,sy_i,0.07291666666666669,0.0010558848552670258,69.05740365811627,0.009218059852546817,17
practices_career_prep,,sy_i,0.07291666666666666,0.0029564775947476785,24.66335844932718,0.025798240526085297,18
practices_anti_racist,,sy_i,0.07071078431372549,NA,NA,NA,19
practices_flipped_classroom,,sy_i,0.06944444444444445,0.06212122565154343,1.11788593538027,0.46460094801395246,20
practices_design_marginalized,,sy_i,0.06944444444444438,0.008623059651347416,8.053341534474155,0.07864782090176371,21
practices_extended_learning,,sy_i,0.06597222222222222,0.0032028507276433485,20.59796969394339,0.03088267080196511,22
practices_industry_credentials,,sy_i,0.06409313725490196,NA,NA,NA,23
practices_student_data,,sy_i,0.062499999999999986,0.0079191364145027,7.892274703784707,0.08023610177072618,24
practices_early_college,,sy_i,0.056372549019607913,NA,NA,NA,25
practices_families_leaders,,sy_i,0.05502450980392155,NA,NA,NA,26
practices_dual_credit,,sy_i,0.05392156862745119,NA,NA,NA,27
practices_a_la_carte,,sy_i,0.05208333333333334,0.0014782387973738393,35.23336921332456,0.01806381071319655,29
practices_community_partnerships,,sy_i,0.05208333333333334,0.011614733407937337,4.48424699078675,0.1396824918279866,29
practices_restorative,,sy_i,0.05208333333333334,0.04941541122649685,1.0539896773216761,0.4832701283989979,29
practices_assessments_sel,,sy_i,0.048611111111111174,0.05888317876205787,0.8255517472578157,0.56065070760176,31
practices_place_based,,sy_i,0.04861111111111108,0.04241137501989226,1.1461809735786908,0.45670533568159827,32
practices_dual_language,,sy_i,0.04534313725490198,NA,NA,NA,33
practices_opportunities_mastery,,sy_i,0.04513888888888899,0.033717923044860404,1.3387209179175548,0.4084339723612803,34
practices_expanded_success,,sy_i,-0.04513888888888895,0.027312221589573825,-1.6526992775322342,0.3464100647008303,35.5
practices_grading_mastery,,sy_i,0.04513888888888895,1.407846473689442e-4,320.6236598412376,0.001985560605287214,35.5
practices_competency_framework,,sy_i,0.04513888888888887,0.016084645961901026,2.8063340029869055,0.21792058789381005,37
